Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
1 : 	S x.x..	D x..x.	2	9	8	5	6	23	9	26	23	18	28	10	.xx.x	.x.xx	x	x	x
2 : 	P .xx.x	E x....	3	10	9	6	7	24	10	27	24	19	29	11	.x...	x.x.x	.	.	.
3 : 	/ .....	N ..xx.	4	11	10	7	8	25	10	27	24	19	29	11	x..xx	x.x.x	x	.	.
4 : 	K xxxx.	K xxxx.	5	12	11	8	9	26	11	27	24	19	29	11	x.x.x	x.x.x	.	x	x
5 : 	C .xxx.	E x....	6	13	12	9	10	27	11	28	25	20	30	12	x..x.	.xx..	x	x	x
6 : 	K xxxx.	N ..xx.	7	14	13	10	11	28	12	29	26	21	31	13	xx.x.	...x.	x	.	x
7 : 	I .xx..	+ xx.xx	8	15	14	11	12	29	13	30	27	22	32	14	....x	x.xx.	.	x	x
8 : 	R .x.x.	+ xx.xx	9	16	15	12	13	30	13	31	28	23	33	15	.x...	xx..x	x	x	x
9 : 	N ..xx.	. ..x..	10	17	16	13	14	31	14	32	29	24	34	16	..xx.	..x..	x	.	.
10 : 	X x.xxx	- xxxxx	11	18	17	14	15	32	15	32	29	24	34	16	.xx..	..x..	.	.	x
11 : 	W xx..x	- xxxxx	12	19	18	15	16	33	15	33	30	25	35	17	xxx.x	xx.xx	.	.	.
12 : 	U xxx..	S x.x..	13	20	19	16	17	34	15	33	30	25	35	17	x..xx	xx.xx	.	.	.
13 : 	S x.x..	I .xx..	14	21	20	17	18	35	15	33	30	25	35	17	...xx	xx.xx	x	.	x
14 : 	R .x.x.	E x....	15	22	21	18	19	36	16	34	31	26	36	18	..x..	xxxx.	x	x	x
15 : 	R .x.x.	+ xx.xx	16	23	22	19	20	37	17	35	32	27	37	19	.xx.x	xxx..	.	.	x
16 : 	X x.xxx	+ xx.xx	17	24	23	20	21	38	17	36	33	28	38	20	...xx	.xxxx	.	.	.
17 : 	U xxx..	N ..xx.	18	25	24	21	22	39	17	36	33	28	38	20	x.x.x	.xxxx	.	.	x
18 : 	U xxx..	- xxxxx	19	26	25	22	23	40	17	37	34	29	39	21	..x..	..xxx	.	.	x
19 : 	K xxxx.	- xxxxx	20	27	26	23	1	41	17	38	35	30	40	22	x..x.	x..xx	x	.	x
20 : 	D x..x.	+ xx.xx	21	28	27	24	2	42	18	39	36	31	41	23	xx.xx	x..x.	x	x	x
21 : 	N ..xx.	+ xx.xx	22	29	28	25	3	43	19	40	37	32	42	24	.xxx.	x..xx	x	.	.
22 : 	W xx..x	. ..x..	23	30	29	26	4	44	20	40	37	32	42	24	.xxx.	x..xx	x	x	x
23 : 	C .xxx.	- xxxxx	24	31	1	1	5	45	21	41	38	33	43	25	x....	....x	.	x	x
