Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	M1 	M2 	TM 
1 : 	M ..xxx	C .xxx.	2	3	9	8	7	19	13	10	28	18	23	26	.....	.x..x	.	x	x
2 : 	Y x.x.x	O ...xx	3	4	10	9	8	20	13	11	29	19	24	27	...xx	x.x.x	x	x	x
3 : 	S x.x..	M ..xxx	4	5	11	10	9	21	14	12	30	20	25	28	xxxxx	.xx..	x	.	x
4 : 	U xxx..	P .xx.x	5	6	12	11	10	22	15	13	31	21	26	29	xx...	.x..x	x	.	.
5 : 	P .xx.x	U xxx..	6	7	13	12	11	23	16	13	31	21	26	29	xx...	.x..x	x	x	x
6 : 	P .xx.x	T ....x	7	8	14	13	12	24	17	14	32	22	27	30	x..xx	xxxxx	.	.	.
7 : 	M ..xxx	E x....	8	9	15	14	13	25	17	14	32	22	27	30	.x...	xxxxx	x	.	x
8 : 	I .xx..	R .x.x.	9	10	16	15	14	26	18	15	33	23	28	31	.xx..	.x.x.	.	x	x
9 : 	A xx...	+ xx.xx	10	11	17	16	15	27	18	16	34	24	29	32	..xx.	..x.x	x	x	x
10 : 	I .xx..	+ xx.xx	11	12	18	17	16	28	19	17	35	25	30	33	..xxx	x....	x	.	x
11 : 	E x....	M ..xxx	12	13	19	18	17	29	20	18	36	26	31	34	x...x	..xx.	.	x	x
12 : 	E x....	- xxxxx	13	14	20	19	18	30	20	19	37	27	32	35	xx..x	x.xx.	x	x	x
13 : 	P .xx.x	- xxxxx	14	15	21	20	19	31	21	20	38	28	33	36	..xx.	x.x..	x	x	x
14 : 	M ..xxx	M ..xxx	15	16	22	21	20	32	22	21	39	29	34	37	.xx.x	.xx.x	.	x	x
15 : 	G .x.xx	E x....	16	17	23	22	21	33	22	22	40	30	35	38	....x	xx.x.	.	x	x
16 : 	M ..xxx	D x..x.	17	18	24	23	22	34	22	23	41	31	36	39	.xxxx	xx.x.	.	x	x
17 : 	D x..x.	I .xx..	18	19	25	24	23	35	22	24	42	32	37	40	xxxx.	.....	x	x	x
18 : 	/ .....	Z x...x	19	20	26	25	1	36	23	25	43	33	38	41	...x.	x..xx	x	.	.
19 : 	I .xx..	I .xx..	20	21	27	26	2	37	24	25	43	33	38	41	x..xx	x..xx	.	x	x
20 : 	U xxx..	N ..xx.	21	22	28	1	3	38	24	26	44	34	39	42	x.x..	.xxx.	.	x	x
21 : 	T ....x	+ xx.xx	22	23	29	2	4	39	24	27	45	35	40	43	.xx..	x.xx.	.	x	x
22 : 	F x.xx.	+ xx.xx	23	24	1	3	5	40	24	28	46	36	41	44	...x.	.xxxx	.	x	x
23 : 	J xx.x.	3 ...x.	24	25	2	4	6	41	24	29	47	37	42	45	x..xx	.x.xx	x	x	x
24 : 	V .xxxx	+ xx.xx	25	26	3	5	7	42	25	30	1	38	43	46	..x..	x....	x	.	x
25 : 	P .xx.x	+ xx.xx	26	27	4	6	8	43	26	31	2	39	44	47	..x.x	x..xx	x	x	x
26 : 	J xx.x.	4 .x...	27	28	5	7	9	44	27	32	3	40	45	48	xxxxx	.xx.x	x	.	x
27 : 	B x..xx	- xxxxx	28	29	6	8	10	45	28	33	4	41	46	49	xx...	x.x..	.	x	x
28 : 	V .xxxx	- xxxxx	29	30	7	9	11	46	28	34	5	42	47	50	.xxx.	xxxx.	x	x	x
29 : 	G .x.xx	H ..x.x	30	31	8	10	12	47	29	35	6	43	48	51	x.xxx	xx..x	x	.	.
30 : 	Q xxx.x	I .xx..	31	1	9	11	13	48	30	35	6	43	48	51	.x...	xx..x	.	x	x
31 : 	F x.xx.	G .x.xx	32	2	10	12	14	49	30	36	7	44	49	52	xx...	..x.x	.	x	x
32 : 	- xxxxx	H ..x.x	33	3	11	13	15	50	30	37	8	45	50	53	x.xx.	.xx..	x	x	x
33 : 	E x....	T ....x	34	4	12	14	16	51	31	38	9	46	51	54	....x	x....	x	.	x
34 : 	D x..x.	E x....	35	5	13	15	17	52	32	39	10	47	52	55	xx..x	xx.xx	.	x	x
35 : 	Z x...x	C .xxx.	36	6	14	16	18	53	32	40	11	48	53	56	.x.xx	x.x..	.	x	x
36 : 	S x.x..	H ..x.x	37	7	15	17	19	54	32	41	12	49	1	57	xx.x.	.x.xx	.	x	x
37 : 	C .xxx.	+ xx.xx	38	8	16	18	20	55	32	42	13	50	2	58	x.x.x	.....	x	x	x
38 : 	L .x..x	+ xx.xx	39	9	17	19	21	56	33	43	14	51	3	59	xxx.x	.xxxx	x	.	x
39 : 	- xxxxx	. ..x..	40	10	18	20	22	57	34	1	15	1	4	1	xxxxx	..x..	.	x	x
40 : 	F x.xx.	- xxxxx	41	11	19	21	23	58	34	2	16	2	5	2	.....	.x..x	.	x	x
41 : 	L .x..x	- xxxxx	1	12	20	22	1	59	34	3	17	3	6	3	.....	x.xx.	.	x	x
42 : 	J xx.x.	F x.xx.	2	13	21	23	2	60	34	4	18	4	7	4	..xxx	.x.xx	.	x	x
43 : 	C .xxx.	U xxx..	3	14	22	24	3	61	34	5	19	5	8	5	.xxx.	xxx..	x	x	x
44 : 	+ xx.xx	R .x.x.	4	15	23	25	4	1	35	6	20	6	9	6	x..x.	...xx	x	.	.
45 : 	N ..xx.	+ xx.xx	5	16	24	26	5	2	36	6	20	6	9	6	xxxx.	...xx	x	x	x
46 : 	J xx.x.	+ xx.xx	6	17	25	1	6	3	37	7	21	7	10	7	x.x.x	x.x..	x	.	.
47 : 	4 .x...	. ..x..	7	18	26	2	7	4	1	7	21	7	10	7	xx...	x.x..	.	x	x
48 : 	- xxxxx	- xxxxx	8	19	27	3	8	5	1	8	22	8	11	8	.x.xx	.x.xx	x	x	x
49 : 	. ..x..	- xxxxx	9	20	28	4	9	6	2	9	23	9	12	9	..xxx	xxx..	.	.	.
50 : 	B x..xx	G .x.xx	10	21	29	5	10	7	2	9	23	9	12	9	..x..	xxx..	x	.	x
51 : 	B x..xx	E x....	11	22	1	6	11	8	3	10	24	10	13	10	.....	...xx	x	x	x
52 : 	D x..x.	S x.x..	12	23	2	7	12	9	4	11	25	11	14	11	xx.xx	xxx.x	.	x	x
53 : 	R .x.x.	U xxx..	13	24	3	8	13	10	4	12	26	12	15	12	x.x..	...x.	.	x	x
54 : 	. ..x..	N ..xx.	14	25	4	9	14	11	4	13	27	13	16	13	..xx.	..x..	x	x	x
55 : 	C .xxx.	D x..x.	15	26	5	10	15	12	5	14	28	14	17	14	..xx.	xx.x.	x	x	x
56 : 	H ..x.x	H ..x.x	16	27	6	11	16	13	6	15	29	15	18	15	....x	....x	.	.	x
57 : 	B x..xx	E x....	17	28	7	12	17	14	6	16	30	16	19	16	.xx.x	.xxx.	.	.	x
58 : 	4 .x...	I .xx..	18	29	8	13	18	15	6	17	31	17	20	17	xxxxx	xx.xx	x	.	.
59 : 	D x..x.	T ....x	19	30	9	14	19	16	7	17	31	17	20	17	.x...	xx.xx	x	x	x
60 : 	3 ...x.	+ xx.xx	20	31	10	15	20	17	8	18	32	18	21	18	x...x	.x...	.	.	.
61 : 	I .xx..	+ xx.xx	21	1	11	16	21	18	8	18	32	18	21	18	xxxxx	.x...	.	.	x
62 : 	Z x...x	. ..x..	22	2	12	17	22	19	8	19	33	19	22	19	.x.xx	xxxx.	.	.	.
63 : 	T ....x	- xxxxx	23	3	13	18	23	20	8	19	33	19	22	19	.....	xxxx.	x	.	.
64 : 	Z x...x	- xxxxx	24	4	14	19	1	21	9	19	33	19	22	19	x....	xxxx.	x	x	x
65 : 	3 ...x.	U xxx..	25	5	15	20	2	22	10	20	34	20	23	20	.x.xx	x.x.x	x	.	x
66 : 	G .x.xx	N ..xx.	26	6	16	21	3	23	11	21	35	21	24	21	.xx..	....x	x	x	x
67 : 	+ xx.xx	D x..x.	27	7	17	22	4	24	12	22	36	22	25	22	xxx..	x.x.x	.	.	.
68 : 	A xx...	+ xx.xx	28	8	18	23	5	25	12	22	36	22	25	22	x.xx.	x.x.x	x	.	.
69 : 	H ..x.x	+ xx.xx	29	9	19	24	6	26	13	22	36	22	25	22	.x.xx	x.x.x	.	x	x
70 : 	C .xxx.	. ..x..	30	10	20	25	7	27	13	23	37	23	26	23	xx.x.	x....	x	x	x
71 : 	- xxxxx	- xxxxx	31	11	21	26	8	28	14	24	38	24	27	24	..xxx	..xxx	x	.	.
72 : 	P .xx.x	- xxxxx	32	12	22	1	9	29	15	24	38	24	27	24	x.x.x	..xxx	.	.	x
73 : 	3 ...x.	L .x..x	33	13	23	2	10	30	15	25	39	25	28	25	x....	xx.xx	x	.	x
74 : 	B x..xx	E x....	34	14	24	3	11	31	16	26	40	26	29	26	.xxx.	.xx.x	x	x	x
75 : 	W xx..x	B x..xx	35	15	25	4	12	32	17	27	41	27	30	27	x.xxx	xxx.x	.	.	.
76 : 	H ..x.x	E x....	36	16	26	5	13	33	17	27	41	27	30	27	.x...	xxx.x	.	.	x
77 : 	E x....	N ..xx.	37	17	27	6	14	34	17	28	42	28	31	28	x....	..xx.	.	.	.
78 : 	I .xx..	S x.x..	38	18	28	7	15	35	17	28	42	28	31	28	xxxx.	..xx.	x	.	x
79 : 	M ..xxx	Q xxx.x	39	19	29	8	16	36	18	29	43	29	32	29	xxx.x	..xxx	x	x	x
80 : 	F x.xx.	U xxx..	40	20	1	9	17	37	19	30	44	30	33	30	x..xx	xx..x	.	.	.
81 : 	3 ...x.	A xx...	41	21	2	10	18	38	19	30	44	30	33	30	...xx	xx..x	.	.	x
82 : 	Q xxx.x	L .x..x	1	22	3	11	19	39	19	31	45	31	34	31	..x..	x....	.	.	x
83 : 	R .x.x.	I .xx..	2	23	4	12	20	40	19	32	46	32	35	32	.xx.x	.x.xx	.	.	x
84 : 	U xxx..	T ....x	3	24	5	13	21	41	19	33	47	33	36	33	..xxx	xx.x.	x	.	.
85 : 	B x..xx	A xx...	4	25	6	14	22	42	20	33	47	33	36	33	x...x	xx.x.	x	x	x
86 : 	T ....x	T ....x	5	26	7	15	23	43	21	34	1	34	37	34	x.x..	x.x..	x	x	x
87 : 	+ xx.xx	+ xx.xx	6	27	8	16	1	44	22	35	2	35	38	35	x.xx.	x.xx.	x	x	x
88 : 	C .xxx.	+ xx.xx	7	28	9	17	2	45	23	36	3	36	39	36	xx.xx	.xxx.	.	.	x
89 : 	L .x..x	3 ...x.	8	29	10	18	3	46	23	37	4	37	40	37	.x...	...xx	x	.	.
90 : 	S x.x..	+ xx.xx	9	30	11	19	4	47	24	37	4	37	40	37	.xx..	...xx	x	x	x
91 : 	O ...xx	+ xx.xx	10	31	12	20	5	48	25	38	5	38	41	38	...x.	xx.x.	.	.	.
92 : 	+ xx.xx	4 .x...	11	1	13	21	6	49	25	38	5	38	41	38	.x..x	xx.x.	.	.	x
93 : 	Q xxx.x	- xxxxx	12	2	14	22	7	50	25	39	6	39	42	39	xx...	xx.x.	x	.	.
94 : 	F x.xx.	- xxxxx	13	3	15	23	8	51	26	39	6	39	42	39	x..xx	xx.x.	x	x	x
95 : 	M ..xxx	S x.x..	14	4	16	24	9	52	27	40	7	40	43	40	..xxx	x.x..	.	.	x
96 : 	3 ...x.	O ...xx	15	5	17	25	10	53	27	41	8	41	44	41	.xxx.	.xxxx	.	.	x
97 : 	I .xx..	N ..xx.	16	6	18	26	11	54	27	42	9	42	45	42	.xxx.	..x..	.	.	.
98 : 	- xxxxx	D x..x.	17	7	19	1	12	55	27	42	9	42	45	42	.x..x	..x..	x	.	.
99 : 	. ..x..	E x....	18	8	20	2	13	56	28	42	9	42	45	42	x....	..x..	x	x	x
100 : 	I .xx..	R .x.x.	19	9	21	3	14	57	29	43	10	43	46	43	.xxx.	.x...	.	.	x
101 : 	T ....x	A xx...	20	10	22	4	15	58	29	1	11	44	47	44	xxxx.	..xxx	.	.	.
102 : 	R .x.x.	U xxx..	21	11	23	5	16	59	29	1	11	44	47	44	x...x	..xxx	.	.	.
103 : 	F x.xx.	S x.x..	22	12	24	6	17	60	29	1	11	44	47	44	..x.x	..xxx	.	.	x
104 : 	K xxxx.	S x.x..	23	13	25	7	18	61	29	2	12	45	48	45	..xxx	.xx.x	x	.	x
