Step 	Input 	Output 	K1 	K2 	K3 	K4 	K5 	M1 	M2 	S1 	S2 	S3 	S4 	S5 	Chi 	Psi 	BM 	TM
1 : 	i .....	G .x.xx	36	27	2	1	0	12	1	4	22	12	17	20	.....	.x.xx	x	x
2 : 	i .....	T ....x	37	28	3	2	1	13	2	5	23	13	18	21	xxx..	xxx.x	.	x
3 : 	i .....	U xxx..	38	29	4	3	2	14	2	6	24	14	19	22	xxxxx	...xx	x	x
4 : 	i .....	_ ..x..	39	30	5	4	3	15	2	7	25	15	20	23	xxxx.	xx.x.	x	x
5 : 	i .....	Y x.x.x	40	0	6	5	4	16	3	8	26	16	21	24	x....	..x.x	x	x
6 : 	i .....	< xxxxx	0	1	7	6	5	17	4	9	27	17	22	25	.xx..	x..xx	x	x
7 : 	i .....	N ..xx.	1	2	8	7	6	18	4	10	28	18	23	26	.xxxx	.x..x	x	x
8 : 	M ..xxx	D x..x.	2	3	9	8	7	19	4	11	29	19	24	27	.....	x.x.x	x	x
9 : 	Y x.x.x	J xx.x.	3	4	10	9	8	20	4	12	30	20	25	28	...xx	.xx..	x	x
10 : 	S x.x..	n ...x.	4	5	11	10	9	21	5	13	31	21	26	29	xxxxx	.x..x	x	x
11 : 	U xxx..	> xx.xx	5	6	12	11	10	22	6	13	31	21	26	29	xx...	xxxxx	.	.
12 : 	P .xx.x	R .x.x.	6	7	13	12	11	23	7	14	32	22	27	30	xx...	xxxxx	x	x
13 : 	P .xx.x	S x.x..	7	8	14	13	12	24	8	14	32	22	27	30	x..xx	.x.x.	.	.
14 : 	M ..xxx	H ..x.x	8	9	15	14	13	25	8	15	33	23	28	31	.x...	.x.x.	x	x
15 : 	I .xx..	H ..x.x	9	10	16	15	14	26	9	16	34	24	29	32	.xx..	..x.x	x	x
16 : 	A xx...	C .xxx.	10	11	17	16	15	27	9	16	34	24	29	32	..xx.	x....	.	.
17 : 	I .xx..	> xx.xx	11	12	18	17	16	28	10	17	35	25	30	33	..xxx	x....	.	x
18 : 	E x....	M ..xxx	12	13	19	18	17	29	11	18	36	26	31	34	x...x	..xx.	x	x
19 : 	E x....	< xxxxx	13	14	20	19	18	30	11	19	37	27	32	35	xx..x	x.xx.	.	x
20 : 	P .xx.x	< xxxxx	14	15	21	20	19	31	12	19	37	27	32	35	..xx.	x.x..	.	.
21 : 	M ..xxx	K xxxx.	15	16	22	21	20	32	13	20	38	28	33	36	.xx.x	x.x..	x	x
